Timestamp,unique-id,research-area,pressing-questions,pathways ,roadblocks
5/5/2021 14:39:18,bq011,"Nutrient Cycling, Pyrogenic Organic Matter, Water Quality, Watershed Management","How do wildfires impact within stream nitrogen retention and bioavailability, and what potential long-term impacts could this have on downstream nitrogen cycling, aquatic ecological processes, and water quality? 

Justification: Nitrate concentrations have found to be elevated in streams draining catchments where severe wildfires have occurred, as well as decreased N retention in burned catchments when compared to unburned areas. 



How has the loss or shift away from indigenous traditional fire practices potentially shaped the impacts of wildfires on watershed biogeochemical cycling observed today? 

Justification: Tribal traditional practices and traditional knowledge used fire to increase ecosystem resilience, increase water yields, and manage riparian areas for centuries. Changes in U.S. fire regimes threaten cultural resources of many tribes today, yet integration of both traditional and non-traditional scientific knowledge will be essential to fully adapt to climate change impacts on tribal resources.

",Building a respectful and more holistic consideration of merging traditional tribal knowledge into modern scientific practices when developing and applying research questions around impacts of wildfire. ,"Difficult to simulate or replicate wildfire conditions across varying burn severities under experimental or laboratory settings where most chemical analyses must take place.
"
5/7/2021 11:55:04,bq012,"Nutrient Cycling, Functional Diversity, Food Web / Trophic Dynamics, Water Quality","Addressing regional variation in biogeochemical responses would reveal underlying causes and synergisms of wildfire impacts to biogeochemical cycling. For example, high gradient, fire-excluded, coniferous streams with snow melt, perhaps the most destructive combination, would be expected to produce a very different response than low gradient, deciduous streams with a summer rainy season. Teasing apart these landscape scale (and continental scale) drivers, perhaps, could help promote basic principles 

To what extent are biota important to biogeochemical cycling, and how that importance or unimportance is mediated by wildfire, I think, warrants greater study. We know some, for example, severe wildfire increases flux from aquatic to terrestrial ecosystems ","As an ecologist I rarely interact with hydrologists, geologists, and others working in fire science. Of course, fire science is necessarily integrative, which necessitates thinking about processes occurring in the terrestrial landscape, burn severity, for example. I think adequately preparing students would be a nice first step, especially as fire science programs may not be the most wholistic ","It seems there is a lack the necessary long-term study systems to clearly analyze these issues. For example, Bear Brook Watershed in Maine has been useful in analyzing the impacts of acid and nitrogen deposition on whole watersheds ; Coweeta and Hubbard Brook have also been similarly useful. No LTER or similar long-term funded study system adequately addresses the issue like Bear Brook has been used to study acid and nitrogen.  

Further, to what extent would a western U.S. study system (or any other study system) adequately capture the variation in biogeochemical responses? In the study system I am most familiar with, the Idaho batholith region, highly erodible granites are a dominant feature affecting wildfire impacts; however, the return interval of highly destructive events has a long return interval
"
5/7/2021 12:27:41,bq013,Nutrient Cycling,"The impact of wildfire on P fluxes and chemical transformations has been largely overlooked compared to C and N. However, we know that P export from terrestrial to aquatic environments can persist multiple years post wildfire. Additionally, if these flux if composed of bioavailable species it can impact aquatic ecology . Therefore, first we need a better understanding of if/how this flux of P impacts ecosystem structure and/or function, especially since it may be a primary or co-limiting nutrient. Secondly, we need to identify what chemical species are moving through these environmental fluxes using a variety of techniques such as fractionation schemes, NMR, XANES, etc. used a fractionation scheme to identify speciation, but more advanced techniques, such as NMR, XAS, are rarely used in wildfire research even though they are increasingly being used in soil science and other fields. 



","Having conferences/workshops where a diverse set a wildfire researchers are invited and/or attend to learn what others are doing in different fields and to spark collaboration. Potentially target large conferences such as ESA, AGU and have broad wildfire topic for the session. 
If possible, establishing long-term research sites that are open to all disciplines for collaborations. Similar to LTER sites. This will allow for better understanding of long-term ecological effects of wildfire 

","need more modelers to help with study design and extrapolate point data; to ensure data collection is being done in a model-friendly way
cost, money and time spent, on long term projects; would be good to get some sort of long term monitoring project established, possibly linked with LTER"
5/10/2021 11:05:32,bq014,"Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply","A growing number of studies have illustrated that soil hydraulic properties, infiltration capacity, hydraulic conductivity, and runoff generation mechanisms may be altered by wildfire, leading to increased annual water yields, low flows, and peak flows for several post-fire years or even decades . Changes in the flow-paths or residence time of water in the catchment, as well as the hydrologic regime, are likely to exert first-order controls on biogeochemical cycling in watersheds. However, it remains uncertain how various wildfire characteristics, catchment characteristics, post-fire precipitation, and runoff pathways interact to impact the retention and/or export of chemical elements.
Vertical and lateral exchanges of water along the river corridor fundamentally determine downstream biogeochemistry and, therefore, aquatic ecosystem health and source water supply. Wildfires have the potential to influence the bioavailability and reactivity of chemical elements during the combustion process   However, the long-term fate and bioavailability of pyrogenically altered elements as they are transported from burned headwaters to downstream rivers remains highly uncertain, which hampers our ability to develop predictive models.","The most important pathway to integrated, trans-disciplinary science is the development of committed research teams that will work together to frame the problems they will collaboratively address. This necessitates collaborators who are committed to investing the necessary time to the joint learning process financial investments and commitments by the team members to working 
Given the need for long-term time investments to develop trans-disciplinary collaborative teams, an initial pathway forward may be to develop and suggest guidelines for methods of data collection and development of metadata to facilitate integration of often disparate data sets. While this cannot replace the need for truly collaborative trans-disciplinary teams, it may enable future investments in research by illustrating to greater value from integration across disciplines.","The random character of wildfires generally precludes the design of tightly controlled watershed studies. Thus, the lack of pre-fire data creates substantial challenges for disentangling the effects from wildfires from the local, background variability in biogeochemical cycling. 
The effects of wildfires on the mechanisms controlling hydrology and biochemistry in the river corridor are complex and will require substantial long-term funding to enable collection of sufficient data to develop models from reaction- to basin-scale. However, even then, a substantial roadblock will be the transferability of the developed knowledge to other regions and within regions given non-stationary climate. "
5/10/2021 12:19:08,bq015,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality","How do in-stream fluxes of carbon, nutrients, and particulates evolve from first post-fire hydrologic event to the end of the fire disturbance window?  How do immediate post-fire fluxes compare to pre-fire fluxes?

Wildfires alter the lateral transfer and in-stream export of material from burned catchments by enhancing overland flow, erosion, and mobilization of carbon and nutrients to the stream channel.  It also remains unclear how watershed conditions pre-fire may provide a blueprint for the hydrologic response, recovery, and associated material export, post-fire.

What are the best analytical approaches for quantifying pyrogenic carbon?  Can a multiproxy approach expand the analytical window for detecting wildfire in-stream and in the sedimentary record?

Wildfires produce charcoal and other thermally altered residues that vary size, mobility, and reactivity, thereby creating multiple pyrogenic signals in-stream and upon delivery and accumulation in sediments. Multiproxy studies have also been cited as a necessary step to improve our understanding of how sedimentary charcoal records relate to wildfire history 











","Nomenclature used to describe pyrogenic carbon has evolved alongside the methods we use to characterize this critical carbon fraction and definitions vary among scientific disciplines.  Since the use of specific scientific language promotes efficient communication within and among disciplines, the use of clear and consistent definitions to describe pyrogenic carbon must be emphasized.  Analytical windows for methods used to quantify pyrogenic carbon must be precisely articulated to avoid the confusion that results from propagation of poorly defined terminology.  From an analytical perspective, the incorporation of pyrogenic carbon standards is also advisable.

Efficient integration of fire science across scientific disciplines requires that the right samples, in sufficient amounts, are collected at the right time.  I am currently involved in a few studies where my collaborators are not experts on the organic geochemical analyses conducted in my lab, but they were able to collect field samples on my behalf because I was able to provide clean supplies and sufficient instruction for collecting water samples.  I do not have a peer-reviewed citation to support this perspective, but I believe that devising an ideal “sampling scheme” complete with protocols, supply lists, and perhaps even pre-assembled sampling kits so we are ready-to-go when unpredictable wildfire and storm events occur.  One of the main challenges is making the sampling process easy for on-site researchers, so lab-intensive analyses can occur to support field-based measurements and observations.


","Collecting simultaneous in-stream (suspended in river channel) and depositional data (alluvial fans, coastal basins, lakes) will allow us to link contemporaneous wildfire activity and hydrologic events within the region to patterns observed within the sedimentary record.  Calibration studies are essential for contextualizing modern wildfire activity within historic and geologic fire regimes.  Success in achieving this goal requires improved communication and collaboration across scientific disciplines (see answers to previous topic).

Given the unpredictable nature of wildfire, its biogeochemical effects in terrestrial and marine environments are extremely difficult and logistically challenging to capture in real time.  Sensor data can be used to safely acquire biogeochemical data during and immediately after fire, but proper calibration of these sensors determines their utility in this kind of work.  Funding and personnel support for capturing wildfire events is needed a priori – Even applying for an NSF RAPID proposal can be too slow for getting a modest amount of support needed to simply get to field sites and grab samples in a timely manner.  Again, I do not have a peer-reviewed citation to support this perspective – Mainly from personal experience.


"
5/10/2021 16:35:12,bq016,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality","What are the cascading impacts of multiple fire events, decreasing the fire return intervals, on carbon and nutrient cycling on ecosystem and decadal + scales?

How bioavailable is pyrogenic organic matter, and does that matter 1) on ecosystem scales, 2) across traditional ecosystem boundaries, and 3) for net C, N, P budgets? ",Common language across the sub-disciplines  ,Long term sites/monitoring infrastructure. Ability to know a system pre- and post- fire and be able to study it for decades 
5/11/2021 11:02:58,bq017,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Cryosphere impacts from deposition of pyrogenic organic matter. ","How is production, transport and deposition of pyrogenic organic matter changing snow and ice melt in watersheds? And what does this mean for water quality and quantity in those watersheds. ",This is a difficult question!  Cross-communication?  Integrated workshops?,"Multiple analytical methods, which sometimes do not provide a clear path for comparison."
5/11/2021 15:50:43,bq018,"Nutrient Cycling, Pyrogenic Organic Matter, Water Quality, Water Supply","How is the biogeochemical cycling in lake ecosystems impacted by wildfire in the short and long term? Post-fire impacts on lakes and reservoirs are extremely understudied compared to river systems and research is mostly limited to boreal lakes.  More persistent BGC impacts on lakes, rather than streams, following the accumulation of ash and charred material may be expected, with long-term implications for beneficial uses and water supplies. 

How do the physical properties, density, size, porosity, of wildfire-derived ash influence HBGC processes in aquatic systems? While the physical behavior of ash on the landscape and the chemical leaching potential, of nutrients of ash have been well studied, important questions surrounding ash-particle or ash-colloid physical and physicochemical properties, fate, and behavior in aquatic environments remain, such as adsorptive capacity, sedimentation. ","Post-fire studies that integrate field-based monitoring, lab-controlled experiments, and modeling components for the same fire-impacted watersheds at comprehensive spatial and temporal scales are needed to address variability in wildfire behavior and unknowns surrounding the duration and magnitude of water quality response. There is a strong need for studies investigating the entire post-fire watershed response including the landscape, ash, soils, together with all components of aquatic systems, streams, groundwater, and lakes. 

Further research that involves multiple fires, of varying severity, across a range of watersheds with different fuel types and hydrologic regimes is needed. Research traditionally focuses on individual fires and watersheds, and broader and larger datasets are needed. 
","To address these research gaps, high resolution in stream sensors capable of detecting both concentration and compositional shifts in post-fire water quality, nitrate, CDOM and FDOM sensors, should be deployed in burned watersheds and coupled with real-time hydrologic measurements and in situ soil sensors. In situ sensors can provide important near real-time information for water supply management decisions, while also producing expansive short and long-term datasets that can help advance the understanding of the magnitude, timing, and duration of water quality responses. "
5/11/2021 16:08:34,bq019,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling",What are the impacts of fire on carbon and nutrient balance across various temporal scales ? How the burning regimes and environmental drivers influence post fire ecosystem recovery,"Integrating multiple analytical approaches to understand the history, reactivity, and transport of PyOM; Developing model platforms that integrate soil biogeochemistry, hydrology, vegetation dynamics with fire regimes for more comprehensive understanding of ecosystem resilience",The inherently high spatial heterogeneity of terrestrial and aquatic environments; Difficulties in tracking the origin and trajectory of PyOM across terrestrial-aquatic boundaries
5/11/2021 18:40:23,bq020,"Water Quality, Watershed Management, Societal Costs, Policy, Water Supply, Surface Water – Groundwater Interactions, drinking water treatability",How does biogeochemical cycling best inform downstream ecocsystem and drinking water treatability impacts of severe wildfire?  How do wildfire impacts on biogeochemical cycling compare across different ecozones? ,Bringing together a transdisciplinary group of researchers and stakeholders,"Inadequate frequency and range, type of analyses conducted, of data collection, relevant time scales vary across stakeholder groups and Recognizing how ecosytem and human/drinking water/landscape impacts of wildfire do and do not overlap"
5/11/2021 19:11:56,bq021,"Nutrient Cycling, Water Quality, Watershed Management, Sediment Transport","What are the effects of wildfire on the form and mobility of sediment associated phosphorus (P) across the watershed continuum? What are the key drivers of sediment associated P transport over a range of spatial and temporal scales in a diverse range of forested regions? What is the role of gravel bed rivers in the storage of cohesive sediment and associated nutrients? 

i","The most important pathway to advancing and  better integrating fire science is to assemble a interdisciplinary team of scientists, engineers, watershed managers, foresters, planners and research partners with a clear mandate to work together on a common set of research goals that provide science upon which to develop policies and regulations. This can only be enabled by strong leadership, administrative support, appropriate levels of long term funding  and a strong willingness to work collaboratively! ","There is a lack of integration across scientific disciplines and key linkages between those knowledge sets are often poorly integrated. This is partly due to the immense complexity of the problem of conducting science at a range of spatial and temporal scales but also a function of limited funding and the need to publish results over the short term. In doing so, the lack of longer term data precludes a detailed understanding of ecosystem dynamics at a range of spatial and temporal scales.  "
5/11/2021 23:05:07,bq022,"Ecological Modeling, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply, Surface Water – Groundwater Interactions, Hydrological Modeling","In my opinion, the most pressing need is to understand the effects of fire-regime change on watersheds. Most of our knowledge pertains to the hydrologic response of individual fire events. Consequently, we can often make an educated prediction of how a watershed may respond given a fire. However, we have much less ability to predict how watershed hydrology will change in the future, as most such studies only incorporate climate change. Yet we know that climate change doesn’t just affect hydrologic processes such as snowmelt, but also vegetation productivity/transpiration, as well as vegetation fire regimes. Within the ecology community, there has been some work to understand how fire regimes are likely to change with a changing climate, but the implications of these types of changes on hydrology is a relatively untouched area.  had an interesting empirical study that showed that across the Western U.S., the long-term effects of wildfire on annual streamflow ranged from 2% to 14% across ecoregions. This estimate represents a significant amount of streamflow for water-limited regions. However, it is unclear how these values may change as wildfire regimes are altered with climate change, as there are likely scenarios where streamflow both increases and decreases depending on the region. In addition, there is the potential that streamflow effects may vary depending on the timescale analyzed, as climate change can have different short and long-term effects on fire. Higher temperatures associated with climate change can increase fuel aridity in already-established vegetation, increasing the potential for burning in the short-term. But higher temperatures can also decrease vegetation productivity in areas that are water-limited, increasing the time interval between fires and decreasing fire in the long-term. We need to better understand how change in fire regimes such as these will affect and be affected by watershed hydrology.

Another pressing need is to identify baseline/historical hydrologic conditions in watersheds where present-day vegetation and fire regimes are substantially different from what they were over a century ago prior to active fire suppression/management. An example of this is the southern Sierra Nevada, which is overstocked due to fire suppression and where we are attempting to assess what the effects of forest restoration and the reintroduction of a natural fire regime may have on streamflow and water supplies. Although there is often interest in evaluating changes in hydrology relative to current conditions, I would argue that the most appropriate comparison is with the ‘quasi-equilibrium’, low-severity fire, baseline conditions, even if it unrealistic that they will ever again be achieved due to climate change, changes in management practices. Perhaps more importantly, understanding hydrologic functioning under baseline conditions may provide a better indicator of biogeochemistry and sediment production in a watershed, compared to fire suppressed watershed. Experiments that attempt to reestablish a natural hydrologic regime, such as in the Illilouette Creek Basin in Yosemite National Park, can provide much needed knowledge of how the restoration of fire regimes may impact hydrology.





.


","• I think coupled models can be an approach to integrate fire science among various disciplines.
• Coupled models provide a direct connection between the research in various scientific disciplines and fire and allows the bidirectional exchange of ideas to and from those disciplines.
• RHESSys-WMFire, a watershed-scale coupled ecohydrologic and fire spread model, is an example of a watershed-scale model that can bridge that gap between hydrology, ecology and fire ecology, but more coupled models are needed with different emphases.


","One of the biggest challenges with coupled models that incorporate fire is the limited data needed to support calibration of long-term fire behavior.
There is frequently limited data on natural fire return intervals, fire size, etc. to help guide model evaluation.
Further, modern fire regimes are heavily influenced by management in the form of fire suppression. Thus, incorporating fire into the long-term models can necessitate modeling management decision making.
"
5/28/2021 18:01:17,bq023,"Water Quality, Water Routing, Hillslope Hydrology, Sediment Transport","How does the sediment transport cascade evolve after wildfire? Particle and particle associated transport is a major pathway for the redistribution and efflux of particulate and hydrophobic compounds after fire. Changes in source, transport lengths, and storage times, the sediment cascade plays a dominant role in controlling the redistribution of these compounds after fire, and likely the biogeochemical cycling of high gradient watersheds with intensive fire regimes.

How does hydrologic connectivity evolve after wildfire? The reactive transport pathways of both dissolved and particulate materials through watersheds can be dramatically altered by wildfire impacts on interception, infiltration, surface roughness, and evapotranspiration. Resultant increased rainfall partitioning to runoff after fire can dramatically decrease surface to subsurface hydrologic connectivity, while dramatically increasing surface connectivity between the hillslope and channel, with large potential impacts on biogeochemical cycling across a broad range of temporal scales.





","Funding and research initiative that recognize the need for interdisciplinary studies and monitoring needs.
Active engagement of scientists across disciplines in applied problem in the fire sciences.
Open and harmonized data

Although advancement of interdisciplinary funding and networks, integration of fundamental scientists into applied research problems, and the availability and framework to support open and harmonized data have all advanced, problems remain, lack of funding, and progress on each of these fronts is essential for achieving integrated fire-system understanding.




","Lack of multi-parameter, high resolution monitoring data, particularly over long time scales.
Insufficient communication and data sharing between researchers operating within given disciplines or scales.
Lack of connectivity between modeling efforts between disciplines and scales.

Lack of data on the wildfire system has been ameliorated to some extent by the proliferation of remote sensing products (for a review on one particular corner of remote sensing applications to fire science). However, high-resolution data sets, particularly those including the contemporaneous monitoring of multiple parameters requires to further interdisciplinary understanding, and those collected over long time periods, remain relatively scarce. Modeling efforts also would benefit from increasing integration across disciplines, as we have seen in ecohydrologic modeling over the past decades.





"
5/30/2021 20:03:11,bq024,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Water Quality, Air Quality, Health, Trace and greenhouse gas emissions","How are post-fire effects on soils affecting microbial processes and the production of trace and greenhouse gases that affect regional air quality and Earth's climate?
Wildfires can affect soils by raising pH and changing the availability of nutrients. This can impact how microbes process N and the emissions they produce including nitric oxide, NO; precursor for tropospheric ozone formation, and nitrous oxide, N2O; powerful greenhouse gas. For instance, changes in pH can alter the balance of ammonia oxidizing bacteria to archaea, potentially affecting the rate at which N is emitted from soils and the gases that are released.


How are post-effects on soils affecting microbial community structure and long-term fate of soil C?
Pyrophilous microbes may process C with different efficiencies and may be able to process pyrognic organic matter, PyOM. How microbes metabolize C and whether they can break down PyOM has important consequences for C sequestration in soils and to determine the fate of soil C.",providing venues for discussion and integration of the science led by knowledge gaps,"fires change the soil microbial community, but it remains relatively unknown how this changes function."
6/2/2021 5:06:36,bq025,"Nutrient Cycling, Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Water Quality, Water Supply, Contaminant Transport","How quickly do pyrogenic organic matter fractions cycle and degrade in fire affected watersheds?
Pyrogenic carbon is not fully inert and stable in the environment. Depending on fire- and watershed conditions, waterchemistry, microbial composition and activity, light, pyrogenic organic matter fractions are transformed at differing rates with implications for global carbon cycling.



What effects do pyrogenic organic matter bound persistent free radicals have on watershed functioning. 
We have recently measured high concentrations of environmentally persistent free radicals in wildfire charcoal that are able to form reactive oxygen species when in contact with water. The implications of this process to ecosystem functioning and carbon cycling in river systems remain elusive. 




",cross-disciplinary workshops with space for open discussions,"Fragmentation of knowledge in specialized fields
Bias towards data being collected in the western hemisphere and underrepresentation of the global south
"
