unique-id,question-type,reference,notes
bq014,pathways,"Yates, K. K., Turley, C., Hopkinson, B. M., Todgham, A. E., Cross, J. N., Greening, H., ... & Johnson, Z. (2015). Transdisciplinary science: A path to understanding the interactions among ocean acidification, ecosystems, and society. Oceanography, 28(2), 212-225.",Found this one in the other database.
bq014,roadblocks,NA,
bq015,pressing-questions,"Marlon, J. R., Kelly, R., Daniau, A. L., Vannière, B., Power, M. J., Bartlein, P., ... & Zhihai, T. (2016). Reconstructions of biomass burning from sediment-charcoal records to improve data–model comparisons. Biogeosciences, 13(11), 3225-3244.",
bq015,pressing-questions,"Masiello, C. A. (2004). New directions in black carbon organic geochemistry. Marine chemistry, 92(1-4), 201-213.",
bq015,pressing-questions,"Abney, R. B., Kuhn, T. J., Chow, A., Hockaday, W., Fogel, M. L., & Berhe, A. A. (2019). Pyrogenic carbon erosion after the Rim Fire, Yosemite National Park: the role of burn severity and slope. Journal of Geophysical Research: Biogeosciences, 124(2), 432-449.",
bq015,pressing-questions,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq015,pressing-questions,"Santos, F., Wymore, A. S., Jackson, B. K., Sullivan, S. M. P., McDowell, W. H., & Berhe, A. A. (2019). Fire severity, time since fire, and site-level characteristics influence streamwater chemistry at baseflow conditions in catchments of the Sierra Nevada, California, USA. Fire Ecology, 15(1), 1-15.",
bq015,pathways,"Belcher, C. M. (Ed.). (2013). Fire phenomena and the Earth system: an interdisciplinary guide to fire science. John Wiley & Sons.",
bq015,roadblocks,"Hawthorne, D., et al. (2018) Global Modern Charcoal Dataset (GMCD): A tool for exploring proxy-fire linkages and spatial patterns of biomass burning. Quaternary International 488, 3-17.",
bq016,pressing-questions,"Pellegrini, A. F., Ahlström, A., Hobbie, S. E., Reich, P. B., Nieradzik, L. P., Staver, A. C., ... & Jackson, R. B. (2018). Fire frequency drives decadal changes in soil carbon and nitrogen and ecosystem productivity. Nature, 553(7687), 194-198.",
bq016,pressing-questions,"Wright, J., DeLaMater, D., Simha, A., Ury, E., & Ficken, C. (2021). Changes in prescribed fire frequency alter ecosystem carbon dynamics. Ecosystems, 24, 640-651.",
bq016,pressing-questions,"Niemeyer, R. J., Bladon, K. D., & Woodsmith, R. D. (2020). Long‐term hydrologic recovery after wildfire and post‐fire forest management in the interior Pacific Northwest. Hydrological Processes, 34(5), 1182-1197.",
bq016,pressing-questions,"Jones, M. W., Coppola, A. I., Santín, C., Dittmar, T., Jaffé, R., Doerr, S. H., & Quine, T. A. (2020). Fires prime terrestrial organic carbon for riverine export to the global oceans. Nature communications, 11(1), 2791.",
bq016,pressing-questions,"Jones, M. W., Santín, C., van der Werf, G. R., & Doerr, S. H. (2019). Global fire emissions buffered by the production of pyrogenic carbon. Nature Geoscience, 12(9), 742-747",
bq016,pathways,"Zimmerman, A. R., & Mitra, S. (2017). Trial by Fire: On the Terminology and Methods Used in Pyrogenic Organic Carbon Research. Frontiers in Earth Science, 5. https://www.frontiersin.org/articles/10.3389/feart.2017.00095",The response cited Zimmerman & Mitra 2019 but this is the only paper these two have together that matches the context from the survey....cross checked this with the V1 zotero database
bq016,pathways,"Keeley, J. E. (2009). Fire intensity, fire severity and burn severity: a brief review and suggested usage. International journal of wildland fire, 18(1), 116-126.",
bq016,roadblocks,"Luo, Y., Melillo, J., Niu, S., Beier, C., Clark, J. S., Classen, A. T., ... & Torn, M. S. (2011). Coordinated approaches to quantify long‐term ecosystem dynamics in response to global change. Global Change Biology, 17(2), 843-854.",
bq017,pressing-questions,NA,For each question they did NOT put in a reference
bq017,pathways,NA,
bq017,roadblocks,NA,
bq018,pressing-questions,"McCullough, I. M., Cheruvelil, K. S., Lapierre, J. F., Lottig, N. R., Moritz, M. A., Stachelek, J., & Soranno, P. A. (2019). Do lakes feel the burn? Ecological consequences of increasing exposure of lakes to fire in the continental United States. Global Change Biology, 25(9), 2841-2854.",
bq018,pressing-questions,"Bodí, M. B., Martin, D. A., Balfour, V. N., Santín, C., Doerr, S. H., Pereira, P., ... & Mataix-Solera, J. (2014). Wildland fire ash: production, composition and eco-hydro-geomorphic effects. Earth-Science Reviews, 130, 103-127.",
bq018,pathways,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq018,roadblocks,"Vaughan, M. C., Bowden, W. B., Shanley, J. B., Vermilyea, A., Sleeper, R., Gold, A. J., ... & Schroth, A. W. (2017). High‐frequency dissolved organic carbon and nitrate measurements reveal differences in storm hysteresis and loading in relation to land cover and seasonality. Water Resources Research, 53(7), 5345-5363.",
bq019,pressing-questions,NA,For each question they did NOT put in a reference
bq019,pathways,NA,
bq019,roadblocks,NA,
bq020,pressing-questions,NA,For each question they did NOT put in a reference
bq020,pathways,NA,
bq020,roadblocks,NA,
bq021,pressing-questions,NA,For each question they did NOT put in a reference
bq021,pathways,NA,
bq021,roadblocks,NA,
bq022,pressing-questions,"Boisramé, G., Thompson, S., Collins, B., & Stephens, S. (2017). Managed wildfire effects on forest resilience and water in the Sierra Nevada. Ecosystems, 20, 717-732.",
bq022,pressing-questions,"Kennedy, M. C., Bart, R. R., Tague, C. L., & Choate, J. S. (2021). Does hot and dry equal more wildfire? Contrasting short‐and long‐term climate effects on fire in the Sierra Nevada, CA. Ecosphere, 12(7), e03657.",
bq022,pressing-questions,"McKenzie, D., & Littell, J. S. (2017). Climate change and the eco‐hydrology of fire: Will area burned increase in a warming western USA?. Ecological applications, 27(1), 26-36.",
bq022,pressing-questions,"Wine, M. L., Cadol, D., & Makhnin, O. (2018). In ecoregions across western USA streamflow increases during post-wildfire recovery. Environmental Research Letters, 13(1), 014010.",
bq022,pathways,"Kennedy, Maureen C.; McKenzie, Donald; Tague, Christina; Dugger, Aubrey L. 2017. Balancing uncertainty and complexity to incorporate fire spread in an eco-hydrological model. International Journal of Wildland Fire. 26(8): 706-718. https://doi.org/10.1071/WF16169.",
bq022,roadblocks,NA,
bq023,pressing-questions,"Rhoades, C. C., Nunes, J. P., Silins, U., & Doerr, S. H. (2019). The influence of wildfire on water quality and watershed processes: New insights and remaining challenges. International Journal of Wildland Fire, 28(10), 721-725.",
bq023,pressing-questions,"Woods, S. W., & Balfour, V. N. (2008). The effect of ash on runoff and erosion after a severe forest wildfire, Montana, USA. International Journal of Wildland Fire, 17(5), 535-548.",
bq023,pathways,"Bromham, L., Dinnage, R., & Hua, X. (2016). Interdisciplinary research has consistently lower funding success. Nature, 534(7609), 684-687.",
bq023,roadblocks,"Allison, R. S., Johnston, J. M., Craig, G., & Jennings, S. (2016). Airborne optical and thermal remote sensing for wildfire detection and monitoring. Sensors, 16(8), 1310.",
bq023,roadblocks,"Brewer, S. K., Worthington, T. A., Mollenhauer, R., Stewart, D. R., McManamay, R. A., Guertault, L., & Moore, D. (2018). Synthesizing models useful for ecohydrology and ecohydraulic approaches: An emphasis on integrating models to address complex research questions. Ecohydrology, 11(7), e1966",
bq023,roadblocks,"Thompson, M. P., & Calkin, D. E. (2011). Uncertainty and risk in wildland fire management: a review. Journal of environmental management, 92(8), 1895-1909",
bq024,pressing-questions,NA,For each question they did NOT put in a reference
bq024,pathways,NA,
bq024,roadblocks,NA,
bq025,pressing-questions,"Bostick, K. W., Zimmerman, A. R., Goranov, A. I., Mitra, S., Hatcher, P. G., & Wozniak, A. S. (2021). Biolability of Fresh and Photodegraded Pyrogenic Dissolved Organic Matter From Laboratory‐Prepared Chars. Journal of Geophysical Research: Biogeosciences, 126(5), e2020JG005981.",
bq025,pressing-questions,"Sigmund, G., Santín, C., Pignitter, M., Tepe, N., Doerr, S. H., & Hofmann, T. (2021). Environmentally persistent free radicals are ubiquitous in wildfire charcoals and remain stable for years. Communications Earth & Environment, 2(1), 68.",
bq025,pathways,NA,
bq025,roadblocks,NA,
bq026,pressing-questions,"Nunes, J. P., Naranjo Quintanilla, P., Santos, J. M., Serpa, D., Carvalho‐Santos, C., Rocha, J., ... & Keesstra, S. D. (2018). Afforestation, subsequent forest fires and provision of hydrological services: A model‐based analysis for a Mediterranean mountainous catchment. Land Degradation & Development, 29(3), 776-788.",
bq026,pressing-questions,"Wu, J., Baartman, J. E., & Nunes, J. P. (2021). Comparing the impacts of wildfire and meteorological variability on hydrological and erosion responses in a Mediterranean catchment. Land Degradation & Development, 32(2), 640-653.",
bq026,pathways,"Nunes, J. P., Naranjo Quintanilla, P., Santos, J. M., Serpa, D., Carvalho‐Santos, C., Rocha, J., ... & Keesstra, S. D. (2018). Afforestation, subsequent forest fires and provision of hydrological services: A model‐based analysis for a Mediterranean mountainous catchment. Land Degradation & Development, 29(3), 776-788.",
bq026,roadblocks,NA,They referenced this website which is a call to action pamphlet basically...Doesnt have an abstract but there is a summary so maybe include it further down the line in the analysis https://www.cost.eu/actions/CA18135/
bq027,pressing-questions,NA,
bq027,pathways,"Bowman, D. M., O'Brien, J. A., & Goldammer, J. G. (2013). Pyrogeography and the global quest for sustainable fire management. Annual Review of Environment and Resources, 38, 57-80.",
bq027,pathways,"Bowman, D. M., Kolden, C. A., Abatzoglou, J. T., Johnston, F. H., van der Werf, G. R., & Flannigan, M. (2020). Vegetation fires in the Anthropocene. Nature Reviews Earth & Environment, 1(10), 500-515.",
bq027,roadblocks,NA,
bq028,pressing-questions,NA,For each question they did NOT put in a reference
bq028,pathways,NA,
bq028,roadblocks,NA,
bq029,pressing-questions,"Ackley, C., Tank, S. E., Haynes, K. M., Rezanezhad, F., McCarter, C., & Quinton, W. L. (2021). Coupled hydrological and geochemical impacts of wildfire in peatland-dominated regions of discontinuous permafrost. Science of The Total Environment, 782, 146841.",
bq029,pressing-questions,"Burd, K., S.E. Tank, N. Dion, W.L. Quinton, C. Spence, A.J. Tanentzap, and D. Olefeldt. 2018. Seasonal shifts in export of DOC and nutrients from burned and unburned peatlands-rich catchments, Northwest Territories, Canada. Hydrology and Earth System Sciences. 22: 4455-4472. https://doi.org/10.5194/hess-22-4455-2018.",
bq029,pathways,NA,
bq029,roadblocks,NA,
bq030,pressing-questions,"Boerner, R. E., Huang, J., & Hart, S. C. (2009). Impacts of Fire and Fire Surrogate treatments on forest soil properties: a meta‐analytical approach. Ecological Applications, 19(2), 338-358.",
bq030,pressing-questions,"Dove, N. C., Safford, H. D., Bohlman, G. N., Estes, B. L., and Hart, S. C.. 2020. High-severity wildfire leads to multi-decadal impacts on soil biogeochemistry in mixed-conifer forests. Ecological Applications 30( 4):e02072. 10.1002/eap.2072",
bq030,pathways,"Anderson, S. P., Bales, R. C., & Duffy, C. J. (2008). Critical Zone Observatories: Building a network to advance interdisciplinary study of Earth surface processes. Mineralogical Magazine, 72(1), 7-10.",
bq030,roadblocks,"Anderson, S. P., Bales, R. C., & Duffy, C. J. (2008). Critical Zone Observatories: Building a network to advance interdisciplinary study of Earth surface processes. Mineralogical Magazine, 72(1), 7-10.",
bq031,pressing-questions,"Lake, F. K., Wright, V., Morgan, P., McFadzen, M., McWethy, D., & Stevens-Rumann, C. (2017). Returning fire to the land: celebrating traditional knowledge and fire. Journal of Forestry, 115(5), 343-353.",
bq031,pressing-questions,"Remenick, L. (2018). The role of communication in preparation for wildland fire: A literature review. Environmental Communication, 12(2), 164-176",
bq031,pathways,"Paveglio, T. B., Brenkert-Smith, H., Hall, T., & Smith, A. M. (2015). Understanding social impact from wildfires: Advancing means for assessment. International Journal of Wildland Fire, 24(2), 212-224.",
bq031,roadblocks,NA,
bq032,pressing-questions,NA,For each question they did NOT put in a reference
bq032,pathways,NA,
bq032,roadblocks,NA,
bq033,pressing-questions,NA,
bq033,pathways,"Neris, J., Santin, C., Lew, R., Robichaud, P. R., Elliot, W. J., Lewis, S. A., ... & Doerr, S. H. (2021). Designing tools to predict and mitigate impacts on water quality following the Australian 2019/2020 wildfires: Insights from Sydney's largest water supply catchment. Integrated Environmental Assessment and Management, 17(6), 1151-1161.",
bq033,pathways,"Cannon, S. H., Gartner, J. E., Rupert, M. G., Michael, J. A., Rea, A. H., & Parrett, C. (2010). Predicting the probability and volume of postwildfire debris flows in the intermountain western United States. Bulletin, 122(1-2), 127-144.",
bq033,roadblocks,NA,
bq034,pressing-questions,"Prats, S. A., Merino, A., Gonzalez-Perez, J. A., Verheijen, F. G. A., & De la Rosa, J. M. (2021). Can straw-biochar mulching mitigate erosion of wildfire-degraded soils under extreme rainfall?. Science of The Total Environment, 761, 143219.",
bq034,pressing-questions,"Pereira, P., Bogunovic, I., Zhao, W., & Barcelo, D. (2021). Short-term effect of wildfires and prescribed fires on ecosystem services. Current Opinion in Environmental Science & Health, 22, 100266.",
bq034,pathways,"Tedim, F., McCaffrey, S., Leone, V., Vazquez-Varela, C., Depietri, Y., Buergelt, P., & Lovreglio, R. (2021). Supporting a shift in wildfire management from fighting fires to thriving with fires: The need for translational wildfire science. Forest Policy and Economics, 131, 102565.",
bq034,roadblocks,"Hammes, K., Schmidt, M. W., Smernik, R. J., Currie, L. A., Ball, W. P., Nguyen, T. H., ... & Ding, L. (2007). Comparison of quantification methods to measure fire‐derived (black/elemental) carbon in soils and sediments using reference materials from soil, water, sediment and the atmosphere. Global Biogeochemical Cycles, 21(3).",
bq034,roadblocks,"De la Rosa, J. M., González-Pérez, J. A., González-Vázquez, R., Knicker, H., López-Capel, E., Manning, D. A. C., & González-Vila, F. J. (2008). Use of pyrolysis/GC–MS combined with thermal analysis to monitor C and N changes in soil organic matter from a Mediterranean fire affected forest. Catena, 74(3), 296-303.",
bq035,pressing-questions,"Gresswell, R. E. (1999). Fire and aquatic ecosystems in forested biomes of North America. Transactions of the American fisheries society, 128(2), 193-221.",
bq035,pressing-questions,"Proctor, C. R., Rhoads, W. J., Keane, T., Salehi, M., Hamilton, K., Pieper, K. J., ... & Whelton, A. J. (2020). Considerations for large building water quality after extended stagnation. AWWA water science, 2(4), e1186.",
bq035,pathways,"Hughes, A. C., Orr, M. C., Ma, K., Costello, M. J., Waller, J., Provoost, P., ... & Qiao, H. (2021). Sampling biases shape our view of the natural world. Ecography, 44(9), 1259-1269.",
bq035,pathways,"McWethy, D. B., Schoennagel, T., Higuera, P. E., Krawchuk, M., Harvey, B. J., Metcalf, E. C., ... & Kolden, C. (2019). Rethinking resilience to wildfire. Nature Sustainability, 2(9), 797-804.",
bq035,roadblocks,"Stieglitz, S., Wilms, K., Mirbabaie, M., Hofeditz, L., Brenger, B., López, A., & Rehwald, S. (2020). When are researchers willing to share their data?–Impacts of values and uncertainty on open data in academia. PLoS one, 15(7), e0234172.",
bq035,roadblocks,"McNutt, M. (2013). Improving scientific communication. Science, 342(6154), 13-13.",
bq036,pressing-questions,NA,For each question they did NOT put in a reference
bq036,pathways,NA,
bq036,roadblocks,NA,
bq037,pressing-questions,"McLauchlan, K. K., Higuera, P. E., Miesel, J., Rogers, B. M., Schweitzer, J., Shuman, J. K., ... & Watts, A. C. (2020). Fire as a fundamental ecological process: Research advances and frontiers. Journal of Ecology, 108(5), 2047-2069.",
bq037,pathways,"Schmidt, T. M. (2006). The maturing of microbial ecology. International Microbiology, 9(3), 217-223.",
